Point ID,arc_length,Displacements_0,Displacements_1,Displacements_2,Points_Magnitude
114,0.1026000007987,-9.406713807821e-16,-0.0001570490712766,0,0.1026000007987
115,0.1035000011325,-9.489227522378e-16,-0.0001596466900082,0,0.1035000011325
116,0.1044000014663,-9.571740178143e-16,-0.0001622655254323,0,0.1044000014663
117,0.1053000018001,-9.654252833909e-16,-0.0001649055921007,0,0.1053000018001
118,0.1062000021338,-9.736766548466e-16,-0.0001675668609096,0,0.1062000021338
119,0.1071000024676,-9.819279204231e-16,-0.0001702493609628,0,0.1071000024676
120,0.1080000028014,-9.901791859997e-16,-0.0001729530631565,0,0.1080000028014
121,0.1089000031352,-9.984304515762e-16,-0.0001756779965945,0,0.1089000031352
122,0.109800003469,-1.006681717153e-15,-0.0001784241321729,0,0.109800003469
123,0.1106999963522,-1.014932982729e-15,-0.0001811914844438,0,0.1106999963522
124,0.111599996686,-1.023184248306e-15,-0.0001839800534071,0,0.111599996686
125,0.1124999970198,-1.031435513882e-15,-0.0001867898536148,0,0.1124999970198
126,0.1133999973536,-1.039686779459e-15,-0.0001896208705148,0,0.1133999973536
127,0.1142999976873,-1.047938045036e-15,-0.0001924731041072,0,0.1142999976873
128,0.1151999980211,-1.056189310612e-15,-0.000195346554392,0,0.1151999980211
129,0.1160999983549,-1.064440576189e-15,-0.0001982412213692,0,0.1160999983549
130,0.1169999986887,-1.072691841765e-15,-0.0002011571050389,0,0.1169999986887
131,0.1178999990225,-1.080943107342e-15,-0.0002040942054009,0,0.1178999990225
132,0.1187999993563,-1.089194267039e-15,-0.0002070525224553,0,0.1187999993563
133,0.1196999996901,-1.097445532616e-15,-0.0002100320562022,0,0.1196999996901
134,0.1206000000238,-1.105696798192e-15,-0.0002130328066414,0,0.1206000000238
135,0.1215000003576,-1.113948063769e-15,-0.0002160547737731,0,0.1215000003576
136,0.1224000006914,-1.122199223466e-15,-0.000219097972149,0,0.1224000006914
137,0.1233000010252,-1.130450489043e-15,-0.0002221623726655,0,0.1233000010252
138,0.124200001359,-1.13870164874e-15,-0.0002252479898743,0,0.124200001359
139,0.1251000016928,-1.146952914317e-15,-0.0002283548383275,0,0.1251000016928
140,0.1260000020266,-1.155204179894e-15,-0.0002314828889212,0,0.1260000020266
141,0.1269000023603,-1.163455339591e-15,-0.0002346321707591,0,0.1269000023603
142,0.1278000026941,-1.171706605168e-15,-0.0002378026547376,0,0.1278000026941
143,0.1287000030279,-1.179957764865e-15,-0.0002409943699604,0,0.1287000030279
144,0.1296000033617,-1.188208924562e-15,-0.0002442073018756,0,0.1296000033617
145,0.1305000036955,-1.196460190139e-15,-0.0002474414359313,0,0.1305000036955
146,0.1314000040293,-1.204711349836e-15,-0.0002506968157832,0,0.1314000040293
147,0.1323000043631,-1.212962509534e-15,-0.0002539733832236,0,0.1323000043631
148,0.1332000046968,-1.22121377511e-15,-0.0002572711673565,0,0.1332000046968
149,0.1341000050306,-1.229464934808e-15,-0.0002605901972856,0,0.1341000050306
150,0.1350000053644,-1.237716094505e-15,-0.0002639304148033,0,0.1350000053644
151,0.1359000056982,-1.245967254203e-15,-0.0002672918781172,0,0.1359000056982
152,0.136800006032,-1.254218519779e-15,-0.0002706745290197,0,0.136800006032
153,0.1377000063658,-1.262469679477e-15,-0.0002740784257185,0,0.1377000063658
154,0.1386000066996,-1.270720839174e-15,-0.0002775035391096,0,0.1386000066996
155,0.1395000070333,-1.278971998872e-15,-0.0002809498400893,0,0.1395000070333
156,0.1404000073671,-1.287223158569e-15,-0.0002844173868652,0,0.1404000073671
157,0.1412999927998,-1.295474106508e-15,-0.0002879060630221,0,0.1412999927998
158,0.1421999931335,-1.303725266206e-15,-0.0002914160431828,0,0.1421999931335
159,0.1430999934673,-1.311976425903e-15,-0.000294947240036,0,0.1430999934673
160,0.1439999938011,-1.320227585601e-15,-0.0002984996535815,0,0.1439999938011
161,0.1448999941349,-1.328478745298e-15,-0.0003020732547157,0,0.1448999941349
162,0.1457999944687,-1.336729904995e-15,-0.000305668101646,0,0.1457999944687
163,0.1466999948025,-1.344981064693e-15,-0.0003092841652688,0,0.1466999948025
164,0.1475999951363,-1.353232118511e-15,-0.0003129214455839,0,0.1475999951363
165,0.14849999547,-1.361483278209e-15,-0.0003165799134877,0,0.14849999547
166,0.1493999958038,-1.369734437906e-15,-0.0003202596271876,0,0.1493999958038
167,0.1502999961376,-1.377985491724e-15,-0.00032396055758,0,0.1502999961376
168,0.1511999964714,-1.386236651422e-15,-0.0003276827046648,0,0.1511999964714
169,0.1520999968052,-1.394487811119e-15,-0.0003314260684419,0,0.1520999968052
170,0.152999997139,-1.402738864938e-15,-0.0003351906489115,0,0.152999997139
