Point ID,arc_length,Displacements_0,Displacements_1,Displacements_2,Points_0,Points_1,Points_2,Points_Magnitude
3553,2.79542350769,0.01460265368223,-0.1338364481926,0,2.174999952316,0.3025000095367,0,2.19593501091
3554,2.79616689682,0.01469392701983,-0.1339194178581,0,2.175499916077,0.3030500113964,0,2.196506023407
3555,2.79691028595,0.01478522922844,-0.1340024620295,0,2.176000118256,0.3036000132561,0,2.197077512741
3556,2.797653675079,0.01487655565143,-0.1340854912996,0,2.176500082016,0.3041499853134,0,2.197648763657
3557,2.79839682579,0.01496791560203,-0.134168535471,0,2.177000045776,0.3046999871731,0,2.198220014572
3558,2.79914021492,0.01505930442363,-0.1342515945435,0,2.177500009537,0.3052499890327,0,2.198791503906
3559,2.799883365631,0.01515072211623,-0.1343346983194,0,2.177999973297,0.3057999908924,0,2.19936299324
3560,2.800626754761,0.01524216774851,-0.1344178169966,0,2.178499937057,0.3063499927521,0,2.199934720993
3561,2.801369905472,0.01533364318311,-0.134500965476,0,2.178999900818,0.3068999946117,0,2.200506448746
3562,2.802113294601,0.01542514748871,-0.1345841884613,0,2.179500102997,0.3074499964714,0,2.201078414917
3563,2.802856683731,0.01551667973399,-0.1346673965454,0,2.180000066757,0.3079999983311,0,2.201650381088
3564,2.803599834442,0.01560824085027,-0.1347506344318,0,2.180500030518,0.3085500001907,0,2.20222234726
3565,2.804343223572,0.01569982990623,-0.1348338872194,0,2.180999994278,0.3091000020504,0,2.202794551849
3566,2.805086612701,0.01579144783318,-0.1349171698093,0,2.181499958038,0.3096500039101,0,2.203366756439
3567,2.805829763412,0.01588309556246,-0.1350004673004,0,2.181999921799,0.3102000057697,0,2.203939199448
3568,2.806573152542,0.01597477123141,-0.135083809495,0,2.182499885559,0.3107500076294,0,2.204511642456
3569,2.807316541672,0.01606647670269,-0.1351672261953,0,2.183000087738,0.3113000094891,0,2.205084323883
3570,2.808059692383,0.01615821011364,-0.1352506130934,0,2.183500051498,0.3118500113487,0,2.20565700531
3571,2.808803081512,0.01624997332692,-0.1353340446949,0,2.184000015259,0.3124000132084,0,2.206229686737
3572,2.809546470642,0.01634175889194,-0.1354174762964,0,2.184499979019,0.3129499852657,0,2.206802606583
3573,2.810289621353,0.01643357798457,-0.1355009526014,0,2.18499994278,0.3134999871254,0,2.207375526428
3574,2.811032772064,0.01652542687953,-0.1355844438076,0,2.18549990654,0.3140499889851,0,2.207948684692
3575,2.811776399612,0.0166173055768,-0.1356680095196,0,2.186000108719,0.3145999908447,0,2.208522081375
3576,2.812519550323,0.01670921221375,-0.1357515454292,0,2.186500072479,0.3151499927044,0,2.209095239639
3577,2.813262939453,0.01680114865303,-0.1358351111412,0,2.18700003624,0.3156999945641,0,2.209668636322
3578,2.814006090164,0.01689311303198,-0.1359187215567,0,2.1875,0.3162499964237,0,2.210242033005
3579,2.814749479294,0.01698510721326,-0.1360023468733,0,2.18799996376,0.3167999982834,0,2.210815668106
3580,2.815492630005,0.01707712933421,-0.1360860019922,0,2.188499927521,0.3173500001431,0,2.211389303207
3581,2.816236019135,0.01716918125749,-0.1361696720123,0,2.188999891281,0.3179000020027,0,2.211963176727
3582,2.816979408264,0.01726125925779,-0.1362534016371,0,2.18950009346,0.3184500038624,0,2.212537288666
3583,2.817722797394,0.01735336892307,-0.1363371312618,0,2.19000005722,0.319000005722,0,2.213111162186
3584,2.818465948105,0.01744550466537,-0.1364208757877,0,2.190500020981,0.3195500075817,0,2.213685274124
3585,2.819209337234,0.01753767021,-0.1365046650171,0,2.190999984741,0.3201000094414,0,2.214259386063
3586,2.819952487946,0.01762986555696,-0.1365884840488,0,2.191499948502,0.320650011301,0,2.21483373642
3587,2.820695877075,0.01772208884358,-0.1366723179817,0,2.191999912262,0.3212000131607,0,2.215408086777
3588,2.821439266205,0.0178143363446,-0.1367562115192,0,2.192500114441,0.321749985218,0,2.215982913971
3589,2.822182655334,0.01790661923587,-0.1368400901556,0,2.193000078201,0.3222999870777,0,2.216557264328
3590,2.822925806046,0.01799892820418,-0.1369239836931,0,2.193500041962,0.3228499889374,0,2.217132091522
3591,2.823669195175,0.01809126697481,-0.1370079219341,0,2.194000005722,0.323399990797,0,2.217706918716
3592,2.824412345886,0.01818363554776,-0.1370918899775,0,2.194499969482,0.3239499926567,0,2.218281745911
3593,2.825155735016,0.01827603206038,-0.1371758878231,0,2.194999933243,0.3244999945164,0,2.218856573105
3594,2.825898885727,0.01836845651269,-0.1372599154711,0,2.195499897003,0.325049996376,0,2.219431638718
3595,2.826642513275,0.01846090890467,-0.1373440027237,0,2.196000099182,0.3255999982357,0,2.220007181168
3596,2.827385663986,0.01855339109898,-0.1374280750751,0,2.196500062943,0.3261500000954,0,2.220582485199
3597,2.828129053116,0.01864590123296,-0.1375121772289,0,2.197000026703,0.326700001955,0,2.22115778923
3598,2.828872203827,0.01873844116926,-0.1375962942839,0,2.197499990463,0.3272500038147,0,2.22173333168
3599,2.829615592957,0.01883100904524,-0.13768042624,0,2.197999954224,0.3278000056744,0,2.22230887413
3600,2.830358743668,0.01892360672355,-0.1377646028996,0,2.198499917984,0.328350007534,0,2.22288441658
3601,2.831102132797,0.01901623234153,-0.1378487944603,0,2.198999881744,0.3289000093937,0,2.223460197449
3602,2.831845521927,0.01910888589919,-0.1379330605268,0,2.199500083923,0.3294500112534,0,2.224036455154
3603,2.832588911057,0.01920156925917,-0.1380173265934,0,2.200000047684,0.330000013113,0,2.224612474442
3604,2.833332061768,0.01929427497089,-0.1381016075611,0,2.200500011444,0.3305499851704,0,2.225188493729
3605,2.834075450897,0.01938701607287,-0.13818590343,0,2.200999975204,0.33109998703,0,2.225764513016
3606,2.834818601608,0.01947978511453,-0.1382702142,0,2.201499938965,0.3316499888897,0,2.226340770721
3607,2.835561990738,0.01957258395851,-0.1383545696735,0,2.201999902725,0.3321999907494,0,2.226917266846
3608,2.836305379868,0.01966541074216,-0.1384389996529,0,2.202500104904,0.332749992609,0,2.227494001389
3609,2.837048530579,0.01975826732814,-0.138523414731,0,2.203000068665,0.3332999944687,0,2.228070497513
3610,2.837791919708,0.01985115371644,-0.1386078596115,0,2.203500032425,0.3338499963284,0,2.228647232056
3611,2.838535308838,0.01994406618178,-0.1386923193932,0,2.203999996185,0.334399998188,0,2.229223966599
3612,2.839278459549,0.02003700844944,-0.138776794076,0,2.204499959946,0.3349500000477,0,2.229800701141
3613,2.840021848679,0.02012998051941,-0.1388613134623,0,2.204999923706,0.3355000019073,0,2.230377674103
3614,2.84076499939,0.02022297866642,-0.1389458477497,0,2.205499887466,0.336050003767,0,2.230954885483
3615,2.841508388519,0.0203160084784,-0.139030456543,0,2.206000089645,0.3366000056267,0,2.231532096863
3616,2.842251777649,0.02040906436741,-0.1391150504351,0,2.206500053406,0.3371500074863,0,2.232109546661
3617,2.842995166779,0.02050215005875,-0.1391996741295,0,2.207000017166,0.337700009346,0,2.232686758041
3618,2.84373831749,0.0205952655524,-0.1392843276262,0,2.207499980927,0.3382500112057,0,2.23326420784
3619,2.844481468201,0.02068840712309,-0.1393689960241,0,2.207999944687,0.3388000130653,0,2.233841896057
3620,2.84522485733,0.02078157290816,-0.1394536942244,0,2.208499908447,0.3393499851227,0,2.234419345856
3621,2.84596824646,0.02087477222085,-0.1395384520292,0,2.209000110626,0.3398999869823,0,2.23499751091
3622,2.84671163559,0.02096800133586,-0.1396231949329,0,2.209500074387,0.340449988842,0,2.235575199127
3623,2.847454786301,0.02106125839055,-0.139707967639,0,2.210000038147,0.3409999907017,0,2.236153125763
3624,2.84819817543,0.02115454338491,-0.1397927552462,0,2.210500001907,0.3415499925613,0,2.236731290817
3625,2.848941326141,0.0212478581816,-0.1398775875568,0,2.210999965668,0.342099994421,0,2.237309455872
3626,2.849684715271,0.0213412027806,-0.1399624347687,0,2.211499929428,0.3426499962807,0,2.237887620926
3627,2.850428104401,0.02143457531929,-0.140047326684,0,2.211999893188,0.3431999981403,0,2.238466024399
3628,2.85117149353,0.0215279776603,-0.1401322633028,0,2.212500095367,0.34375,0,2.23904466629
3629,2.851914644241,0.02162140607834,-0.1402171850204,0,2.213000059128,0.3443000018597,0,2.239623069763
3630,2.852658033371,0.02171486616135,-0.1403021365404,0,2.213500022888,0.3448500037193,0,2.240201711655
3631,2.853401184082,0.02180835418403,-0.1403871178627,0,2.213999986649,0.345400005579,0,2.240780353546
3632,2.854144573212,0.02190187014639,-0.1404721289873,0,2.214499950409,0.3459500074387,0,2.241359233856
3633,2.854887723923,0.02199541591108,-0.1405571699142,0,2.214999914169,0.3465000092983,0,2.241938114166
3634,2.855631351471,0.02208899147809,-0.140642285347,0,2.215500116348,0.347050011158,0,2.242517471313
3635,2.856374502182,0.02218259312212,-0.1407273560762,0,2.216000080109,0.3476000130177,0,2.243096590042
3636,2.857117891312,0.02227622270584,-0.140812471509,0,2.216500043869,0.3481500148773,0,2.243675708771
3637,2.857861042023,0.02236987836659,-0.1408976018429,0,2.217000007629,0.3486999869347,0,2.244255065918
3638,2.858604431152,0.02246356569231,-0.1409827619791,0,2.21749997139,0.3492499887943,0,2.244834423065
3639,2.859347581863,0.0225572809577,-0.1410679668188,0,2.21799993515,0.349799990654,0,2.245414018631
3640,2.860090970993,0.02265102602541,-0.1411531865597,0,2.218499898911,0.3503499925137,0,2.245993614197
3641,2.860834360123,0.02274480089545,-0.1412384808064,0,2.219000101089,0.3508999943733,0,2.246573448181
3642,2.861577749252,0.02283860184252,-0.1413237601519,0,2.21950006485,0.351449996233,0,2.247153282166
3643,2.862320899963,0.02293243259192,-0.1414090543985,0,2.22000002861,0.3519999980927,0,2.24773311615
3644,2.863064289093,0.02302629314363,-0.1414943784475,0,2.220499992371,0.3525499999523,0,2.248313188553
3645,2.863807439804,0.02312018163502,-0.1415797173977,0,2.220999956131,0.353100001812,0,2.248893260956
3646,2.864550828934,0.02321409806609,-0.1416650861502,0,2.221499919891,0.3536500036716,0,2.249473333359
3647,2.865293979645,0.02330804429948,-0.1417504698038,0,2.221999883652,0.3542000055313,0,2.25005364418
3648,2.866037368774,0.0234020203352,-0.1418359428644,0,2.222500085831,0.354750007391,0,2.25063419342
3649,2.866780757904,0.02349602244794,-0.1419214010239,0,2.223000049591,0.3553000092506,0,2.251214742661
3650,2.867524147034,0.02359005436301,-0.1420068740845,0,2.223500013351,0.3558500111103,0,2.251795291901
3651,2.868267297745,0.0236841160804,-0.1420923918486,0,2.223999977112,0.35640001297,0,2.252375841141
3652,2.869010686874,0.02377820573747,-0.1421779096127,0,2.224499940872,0.3569500148296,0,2.252956628799
3653,2.869753837585,0.02387231960893,-0.1422634571791,0,2.224999904633,0.357499986887,0,2.253537416458
3654,2.870497226715,0.02396646700799,-0.1423490792513,0,2.225500106812,0.3580499887466,0,2.254118680954
3655,2.871240615845,0.02406064234674,-0.1424346864223,0,2.226000070572,0.3585999906063,0,2.254699707031
3656,2.871984004974,0.02415484562516,-0.1425203382969,0,2.226500034332,0.359149992466,0,2.255280733109
3657,2.872727155685,0.02424907870591,-0.1426060050726,0,2.226999998093,0.3596999943256,0,2.255861997604
3658,2.873470306396,0.02434333972633,-0.1426916867495,0,2.227499961853,0.3602499961853,0,2.2564432621
3659,2.874213695526,0.02443762868643,-0.1427774131298,0,2.227999925613,0.360799998045,0,2.257024765015
3660,2.874957084656,0.02453194744885,-0.1428631544113,0,2.228499889374,0.3613499999046,0,2.257606267929
3661,2.875700473785,0.02462629415095,-0.1429489552975,0,2.229000091553,0.3619000017643,0,2.258188009262
3662,2.876443624496,0.02472067065537,-0.1430347412825,0,2.229500055313,0.362450003624,0,2.258769750595
3663,2.877187013626,0.02481507509947,-0.1431205421686,0,2.230000019073,0.3630000054836,0,2.259351491928
3664,2.877930164337,0.02490950748324,-0.1432063728571,0,2.230499982834,0.3635500073433,0,2.25993347168
3665,2.878673553467,0.0250039678067,-0.1432922482491,0,2.230999946594,0.364100009203,0,2.260515451431
3666,2.879416942596,0.02509845793247,-0.1433781534433,0,2.231499910355,0.3646500110626,0,2.261097431183
3667,2.880160331726,0.02519297599792,-0.1434641182423,0,2.232000112534,0.3652000129223,0,2.261679887772
3668,2.880903482437,0.0252875238657,-0.1435500532389,0,2.232500076294,0.365750014782,0,2.262262105942
3669,2.881646871567,0.02538209408522,-0.1436360180378,0,2.233000040054,0.3662999868393,0,2.262844324112
3670,2.882390022278,0.02547669783235,-0.143722012639,0,2.233500003815,0.366849988699,0,2.263426780701
3671,2.883133411407,0.0255713313818,-0.1438080370426,0,2.233999967575,0.3673999905586,0,2.264009475708
3672,2.883876562119,0.02566599473357,-0.1438940912485,0,2.234499931335,0.3679499924183,0,2.264591932297
3673,2.884619951248,0.02576068602502,-0.1439801752567,0,2.234999895096,0.368499994278,0,2.265174865723
3674,2.885363340378,0.0258554071188,-0.1440663337708,0,2.235500097275,0.3690499961376,0,2.265757799149
3675,2.886106729507,0.0259501542896,-0.1441524475813,0,2.236000061035,0.3695999979973,0,2.266340732574
3676,2.886849880219,0.02604493126273,-0.1442385911942,0,2.236500024796,0.3701499998569,0,2.266923666
3677,2.887593269348,0.02613973617554,-0.1443247646093,0,2.236999988556,0.3707000017166,0,2.267506837845
3678,2.888336420059,0.02623456902802,-0.1444109678268,0,2.237499952316,0.3712500035763,0,2.268090009689
3679,2.889079809189,0.02632942982018,-0.1444972157478,0,2.237999916077,0.3718000054359,0,2.268673419952
3680,2.889823198318,0.02642432041466,-0.1445835083723,0,2.238500118256,0.3723500072956,0,2.269257068634
3681,2.890566587448,0.02651924081147,-0.1446698009968,0,2.239000082016,0.3729000091553,0,2.269840478897
3682,2.891309738159,0.02661418914795,-0.1447561234236,0,2.239500045776,0.3734500110149,0,2.270424127579
3683,2.892053127289,0.02670916728675,-0.1448424607515,0,2.240000009537,0.3740000128746,0,2.27100777626
3684,2.892796278,0.02680417336524,-0.1449288278818,0,2.240499973297,0.3745500147343,0,2.271591424942
3685,2.89353966713,0.02689920179546,-0.1450152099133,0,2.240999937057,0.3750999867916,0,2.272175312042
3686,2.894282817841,0.02699426375329,-0.145101621747,0,2.241499900818,0.3756499886513,0,2.272759199142
